POS,NEG
بی‌نهایت برای هدفون انتخاب خوبی بود و ظاهر کالا شیک و باکیفیته.,برای هدفون شدیداً ناامید شدم؛ بسته‌بندی آسیب‌دیده بود.
ماگ رو خریدم و خریدش رو به بقیه هم پیشنهاد می‌کنم.,ماگ رو گرفتم اما دکمه‌ها درست کار نمی‌کرد.
از خرید مانیتور ارزش خرید بالایی داره.,با این مانیتور باتری یا شارژدهی خیلی کم بود.
برای کتری برقی تجربه خوبی بود؛ کیفیت ساخت محکم و قابل اعتماده.,تجربه من از کتری برقی: بعد از چند روز خراب شد.
به‌شدت برای مانیتور انتخاب خوبی بود و کیفیت ساخت محکم و قابل اعتماده.,در مورد مانیتور باید بگم که ارسال خیلی دیر انجام شد.
مخلوط‌کن رو خریدم و کیفیت ساخت محکم و قابل اعتماده.,برای مخلوط‌کن نامطلوب ناامید شدم؛ کالا با توضیحات سایت مطابقت نداشت.
از خرید لپ‌تاپ دقیقاً همون چیزی بود که توی توضیحات نوشته بود.,لپ‌تاپ رو گرفتم اما دکمه‌ها درست کار نمی‌کرد.
برای کوله‌پشتی تجربه خوبی بود؛ کارایی محصول از انتظارم بهتر بود.,با این کوله‌پشتی قیمتش نسبت به کیفیت بالاست.
به‌شدت برای کتری برقی انتخاب خوبی بود و خریدش رو به بقیه هم پیشنهاد می‌کنم.,تجربه من از کتری برقی: بعد از چند روز خراب شد.
لپ‌تاپ رو خریدم و قیمت نسبت به کیفیت خیلی مناسب بود.,در مورد لپ‌تاپ باید بگم که کیفیت صدا/تصویر ناامیدکننده بود.
از خرید ماشین اصلاح بعد از چند هفته استفاده هنوز مثل روز اوله.,برای ماشین اصلاح بسیار ناامید شدم؛ ارسال خیلی دیر انجام شد.
برای کوله‌پشتی تجربه خوبی بود؛ ظاهر کالا شیک و باکیفیته.,کوله‌پشتی رو گرفتم اما کیفیت صدا/تصویر ناامیدکننده بود.
به‌شدت برای عطر انتخاب خوبی بود و ارزش خرید بالایی داره.,با این عطر بعد از چند روز خراب شد.
کتری برقی رو خریدم و کالا بدون ایراد به دستم رسید.,تجربه من از کتری برقی: پشتیبانی پاسخگو نبود.
از خرید هدفون دقیقاً همون چیزی بود که توی توضیحات نوشته بود.,در مورد هدفون باید بگم که باتری یا شارژدهی خیلی کم بود.
برای قهوه‌ساز تجربه خوبی بود؛ امکاناتش کامل و کاربردیه.,برای قهوه‌ساز خیلی ناامید شدم؛ ارزش خرید نداره.
فوق‌العاده برای ماشین اصلاح انتخاب خوبی بود و خریدش رو به بقیه هم پیشنهاد می‌کنم.,ماشین اصلاح رو گرفتم اما ارسال خیلی دیر انجام شد.
لپ‌تاپ رو خریدم و کیفیت ساخت محکم و قابل اعتماده.,با این لپ‌تاپ بسته‌بندی آسیب‌دیده بود.
از خرید کیبورد بعد از چند هفته استفاده هنوز مثل روز اوله.,تجربه من از کیبورد: ارسال خیلی دیر انجام شد.
برای دوربین تجربه خوبی بود؛ عملکرد محصول عالیه و روان کار می‌کنه.,در مورد دوربین باید بگم که کیفیت صدا/تصویر ناامیدکننده بود.
درجه‌یک برای کیف انتخاب خوبی بود و ارزش خرید بالایی داره.,برای کیف بسیار ناامید شدم؛ کالا با توضیحات سایت مطابقت نداشت.
ماوس رو خریدم و امکاناتش کامل و کاربردیه.,ماوس رو گرفتم اما ارزش خرید نداره.
از خرید اسباب‌بازی ارزش خرید بالایی داره.,با این اسباب‌بازی ارسال خیلی دیر انجام شد.
برای هدفون تجربه خوبی بود؛ عملکرد محصول عالیه و روان کار می‌کنه.,تجربه من از هدفون: رنگ و مدل با عکس فرق داشت.
فوق‌العاده برای کیف انتخاب خوبی بود و ارزش خرید بالایی داره.,در مورد کیف باید بگم که باتری یا شارژدهی خیلی کم بود.
مخلوط‌کن رو خریدم و خریدش رو به بقیه هم پیشنهاد می‌کنم.,برای مخلوط‌کن خیلی ناامید شدم؛ ارسال خیلی دیر انجام شد.
